URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,76,79,-0.019354838584807493,0.14540337697429326,23.22077922077922,20.078299776286354,17.31963159882623,23.22077922077922,359,1066,2841,0,5.792505592841163
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,57,72,-0.11627906886605373,0.1866859621032041,17.432098765432098,13.101983002832862,12.213632707305985,17.432098765432098,185,689,1891,6,4.993626062322946
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,82,85,-0.017964071748718134,0.18093174411600027,19.72093023255814,18.39622641509434,15.246862659060993,19.72093023255814,312,923,2562,2,5.522405660377358
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,64,65,-0.007751937924403582,0.1686274507599641,17.68888888888889,12.751256281407036,12.176058068118373,17.68888888888889,203,765,2240,17,4.937185929648241
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,68,73,-0.035460992656305014,0.15684093419706235,21.794871794871796,14.941176470588236,14.694419306184011,21.794871794871796,254,899,2440,14,5.214117647058823
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,65,69,-0.029850746045889956,0.2120253161202131,21.80701754385965,13.274336283185843,14.032541530818197,21.80701754385965,165,629,1723,16,5.122284794851167
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,28,32,-0.06666666555555557,0.15665796303744658,15.978260869565217,15.374149659863946,12.540964211771666,15.978260869565217,113,383,1024,7,5.22312925170068
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,8.0,0.0,3.2,8.0,0,6,11,0,5.25
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,36,37,-0.013698629949333838,0.20054944999849053,19.10810810810811,11.173974540311175,12.112833059367714,19.10810810810811,79,364,928,0,4.944837340876945
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,77,82,-0.03144654068272616,0.14600550950780025,26.304878048780488,15.391747797867408,16.67865033865916,26.304878048780488,332,1087,3119,8,5.049605934167825
